GUEST,SITE_URL,Introduction,Response,Acting Person,,Second Mentioned,Action,5 Love Languages (deprecate),
Jeremy Grantham,https://www.joincolossus.com/episodes/31390529/grantham-a-historic-market-bubble?tab=transcript,"My guest today is Jeremy Grantham. Jeremy is the Long-Term Investment Strategist and Co-Founder at GMO. Jeremy has an encyclopedic knowledge of the history of markets, which made it such a pleasure to have him back on the show. In this conversation, we discussed the three key signs of a market bubble, why Jeremy believes we're in a bubble right now, and how it's being led by retail rather than institutional investors. We close with the important role that demographics and productivity will play over the next few decades across the world. Please enjoy my conversation with Jeremy Grantham.",Question not found,,,,,,
Scott Belsky,https://www.joincolossus.com/episodes/67001654/belsky-focus-on-the-first-mile?tab=transcript,"My guest today is Scott Belsky. Scott was the co-founder and CEO of Behance, the world's largest creative network, and a prolific angel investor, having made early-stage investments in Pinterest, Uber, Carta, and Airtable. His company was acquired by Adobe in 2012, where he is currently the chief product officer. In this conversation, we cover the importance of focusing on the first mile of a customer's experience with your product, why every user is (at first) either lazy, vain or selfish, and what the rise of creativity tools means for creators and investors in the future. We also cover the major trends that Scott thinks will dominate for the next decade. This was one of those conversations where I was left with 10 great lessons that will stick with me for a long time. Please enjoy my conversation with Scott Belsky.
So Scott, I've been so excited to do this with you. I think we'll make the first part of this conversation about the psychology and process of building great products. And then we'll talk a lot about everything else that you do. You have your hands in so many interesting things. My opening question, I guess, is just very broad, which is what is your philosophy of building great products, generally speaking?","Scott: [00:52:12] I think the kindest thing is really to make time when there's clearly nothing in it for them. And we all now know when you get into a point in your career where you start getting a lot of inbound stuff, you sort of start to filter it all out. And it's like, ""Oh, I need to stay focused on my family and make sure that I do what's absolutely necessary at work, and take the occasional opportunity when it comes from a really great source,"" and then you start to close everything else out. But when I look back, I remember certain people who were really great leaders in the industry who made time for a kid in high school, in some cases, or in business school. And so now I realize just how kind that was, how kind of selfless it was. It was sort of a pay-it-forward motion, I guess, and I challenged myself to somehow prioritize that even when it becomes a little less easy to do so.",Mentor,,,Made time,,
Michael Dempsey,https://www.joincolossus.com/episodes/6557836/dempsey-investing-in-bleeding-edge-technology?tab=transcript,"My guest today is Michael Dempsey, General Partner at Compound Ventures. Michael invests in a broad range of areas but has a unique talent for combining brand building and direct consumer relationships with technically demanding sectors. Our conversation covers the rise of virtual influencers, robotics, and how to best identify key inflection points in the evolution of new technologies. I hope you enjoy my conversation with Michael Dempsey.
So Mike, I'd love to begin with a simple thumbnail sketch of your career to this point. Describe for the audience, how you got into the business you're in now and what the major stages of your career have been to this point.","Michael: [00:54:06] One of the things I've learned is caring about the step function events is really important but noticing these in-the-moment, really individual type of things that are meaningful, is equally as important. So I guess I'll say, you know, after really the hardest year of my life, the thing that I'm continually thinking about more, not to steal your thunder, is what is just the most recent kind thing someone did for me. That is something that we don't think enough about. We think three years later, wow, it was amazing that my boss gave me the chance to do this. We don't think yesterday, one of my friends woke up at 7:00 AM and had a call with me to talk through a bunch of stuff that I wanted to talk through.Over the past couple of days, I've had a bunch of different calls with friends early in the morning and in my life, I've had times where in the moment I've said, ""Hey, I need to chat. I need to talk,"" and have dropped everything and gone. And those are the kindest things people have done, things they have done for me. And I would just say, think about it every day, not just in these reflection times where maybe it's too late to talk to someone or life has passed you by and so it'll feel weird to reach out.",Friend,,,Made time,,
Chamath Palihapitiya,https://www.joincolossus.com/episodes/33654465/palihapitiya-the-major-problems-facing-the-world?tab=transcript,"My guest today is Chamath Palihapitiya, the founder and CEO of Social Capital, whose mission is to advance humanity by solving the world's hardest problems. I didn't know where this conversation would take us given Chamath's wide ranging activities and interests, but I think it provides an interesting glimpse into some of his core beliefs and the source of his personal drive. In our wide ranging conversation, we cover potential paths to closing the income inequality gap, how to manage one's personal psychology, his perspective on value investing and tackling climate change. I hope you enjoy my conversation with Chamath Palihapitiya.","Chamath: [01:04:49] Well, I kind of believe in the butterfly effect. I would like to thank a guy who was in my sister's class, so younger than me, his name is Brian Marks. He's a teacher, he's in Ottawa. When my parents filed for refugee status, we had been living in a small house, and my dad's salary was paid for at the time by the Sri Lankan High Commission in Canada. And then we moved to this little apartment, literally right beside that house. And we had nothing because everything was furnished by the High Commission and this family gave us some clothes and they gave us a mattress. So I'm very thankful to him.",Neighbor,,,Help in time of need,,
Joost van Dreunen,https://www.joincolossus.com/episodes/14574831/van-unlocking-value-in-gaming?tab=transcript,"Our guest today is Joost van Dreunen, an investor in the gaming world, professor at NYU Stern School of Business, and former CEO and co-founder of Super Data Research, a data-driven gaming firm that was acquired by Nielsen. He also recently authored one-up: creativity, competition, and the global business of video games, a great book on the gaming industry. Our conversation covers the rise and decline of GameStop, what parts of the value chain actually make money in video games, the evolution of the video games business model from Nintendo to Fortnite, and what other industries can learn by studying the video game industry. I hope you enjoy this great conversation with Joost van Dreunen.","Joost: [00:57:21] My company started really with this wild idea because I wasn't sure what to do. I had just come out of grad school and I had sort of lost my own way. The thing is, is that you grew up in a world where you end up thinking about how to be in that world. So, you start a business. Do you take a job? Where do you go from here? One of the kindest things that anyone's ever done for me was a doctor at Columbia University. So, I was diagnosed in 2007 with cancer. It was her, I won't say her name because I don't want to embarrass her, but she was the one who said, ""Look, you need to go get this checked out and you need to upgrade your insurance. And if it's nothing, then you'll spend a little extra money. If it's something, then you're going to save yourself a whole rigmarole.""So, I went through a whole medical thing for like a year, costs hundreds of thousands of dollars, which I didn't pay because she told me to think about this. And it wasn't so much about saving the money, but it was about someone who's like, ""Let me look out for you."" And so, since then, as I was starting to think about what to do, I always try to honor that idea of what's best for you. And I think it's, in building businesses or talking to my students, going through the pandemic over the last semester, I try to kind of channel that, pay that forward, by saying like, ""Let me just empathize with your circumstance a little bit and how can we be together?"" But that was really such a helpful, beautiful person to help me at that moment. So, that was one of the kindest things back then, which was meaningful to me.",Doctor,,,Counsel,,
Claire Cormier Thielke,https://www.joincolossus.com/episodes/72331821/cormier-the-future-of-cities-and-real-estate?tab=transcript,"My guest today is Claire Cormier Thielke, managing director of Asia Pacific for Hines, the largest private real estate investment development and management firm in the world with over $144 billion in assets under management. Claire is responsible for acquisitions, development, and new business generation for Hines in Asia and was recently appointed to the board of Zillow. I was first introduced to Claire two years ago and have wanted to have her on the podcast ever since. Her personal story is also fascinating. Claire finished Stanford undergrad in two and a half years and now teaches there on the intersection of technology and real assets. She was a professional track and field athlete competing for USA track and field and she's run a marathon on Everest which we discussed. Aside from her personal story and some of her amazing achievements, in this episode, we dive into the world of real estate investing including how to use pattern recognition to unlock real alpha in real estate, the ingredients that make a city special, and the surprising ROI of public art. Please enjoy my conversation with Claire Cormier Thielke.","I'd say the kindest thing anyone's done for me is impart their culture and take the time to teach their value system. When my husband, Rick and I moved to Houston after graduate school, we didn't know many other married young people and we met these two couples that really went out of their way to pull us into their orbit. One was Taiwanese and the other was mixed heritage, South Indian. They really welcomed us fully into not just their own lives, but those of their extended families.

So pretty soon, we were joining them for these very intimate religious and cultural rites of passage learning from their parents who were in their 70s about the professional practices that were at the heart of their cultures, the personal practices. They embraced us. We coined this term that we call framily. More than friends, adopted as family. So today, I've had this fortune of working across so many different languages and cultures, countries. When I think back to the most important lessons and by far the most important skills about adapting and developing Guanxi, the act of building trust or about Chinese or about karaoke. So many of those intangibles that help you build teams and find value and build a business. They track back to those initial gifts. And for that, I will always be grateful.",Neighbor,,,Friendship,,
Zack Fuss,https://www.joincolossus.com/episodes/93129089/fuss-breaking-down-the-food-ecosystem?tab=transcript,"My guest today is Zack Fuss, an investor at Continental Grain, a 200-year-old family-owned business that is focused on investing and operating businesses through the food and agriculture ecosystem. Prior to his work at Continental, Zach was an analyst at Tiger and at Citadel. This is a must-listen for those interested in any aspect of the food ecosystem but also for those trying to understand value chains more generally. In our conversation, we cover where profits tend to sit in a specific value chain, how legacy food businesses are creating their second act as digital businesses and explore what makes Domino's Pizza so interesting and special. I hope you enjoy my conversation with Zack fuss.","Zack: [01:13:55] It's clearly the sacrifices that my parents had made to get me the opportunity to do what I do today. My father has been working at the same hospital for four years. Working in investments is sometimes humbling, but really it's a privilege. I get the opportunity to learn every day. And that's because of the sacrifices that my mother and father have made. The reality is my father as a physician is saving lives and I'm allocating capital, and I'm forever grateful for what he does and continues to do at the ripe old age of 70, as I sit here and listen to management teams and re-filings for a living.",Parents,,,Support,,
Ram Parameswaran,https://www.joincolossus.com/episodes/22392883/parameswaran-internet-scale-businesses?tab=transcript,"My guest today is Ram Parameswaran, founder of Octahedron Capital. Ram started Octahedron this year after more than five years as a partner at Altimeter Capital where he led investments in Square, ByteDance, Pinduoduo, and Udaan. In our conversation, we cover the potential for internet-scale businesses, explore the common characteristics of these businesses, and then go through a rapid-fire round of the most important qualities for eight different business models. This conversation was a blast of energy and could have gone on for two more hours. I hope to have Ram on again and can't imagine what his conversations are like at the dinner table with his wife and former podcast guest, Anu Hariharan. Please enjoy this awesome conversation with Ram Parameswaran.
So, Ram, I think we have to set the stage here with the broadest description of the opportunity that you see in front of us as you can. I'll call this the commercial internet, maybe you could just describe what that phrase means to you, why you think it represents the size of the opportunity that it does.","Ram: [01:17:28] And I love the way you ask this question every single time. And in fact, sometimes I just forward to the end of the podcast, and ignore the content. But I'll tell you listen, and it's obviously, starting a firm has been front and foremost to me. This is my third baby right now, after my kids. The kindest thing I'm going to point out is there's this gentleman called, he works at Greylock, his name is Asheem Chandna. He's a very under the radar, but a brilliant, brilliant venture investor, one of the best in the world, by the way. And I met him serendipitously, I'd say 12 months ago, we had a quick discussion. And I said to him I was starting a firm, and literally on the spot, he committed his first check, like literally he was my first money in when I knew him for 45 minutes.I'm not sure what he saw in me, but he saw something. So especially with the context of building a firm in the early days, where you're not quite sure whether there are so many reasons to fail, when a kindness of a stranger comes in. And Asheem in this case, and he's now become a dear friend, obviously, committing a few million dollars to you in 45 minutes. I think that really from a company building perspective, the money is a token, but he gave me the confidence that I could go and raise capital, which is always the hard part about bootstrapping a firm. And so I would say that in the last 12 months, the most contemporary kind thing somebody has done for me is what Asheem did, and he literally helped me on my way to starting a firm.",Mentor,,,Took a chance,,
Tracy Graham,https://www.joincolossus.com/episodes/86798473/graham-investing-in-overlooked-businesses?tab=transcript,"My guest today is Tracy Graham, founder and managing principal of Graham Allen Partners, a private equity firm that specializes in acquiring and building technology-enabledbusinesses. In our conversation, wediscuss how Tracy ended up playing football at Notre Dame, the key lessons he learned from famed coach Lou Holtz, why Graham Allen believes that businesses in secondary or tertiary US markets are undervalued, and why technology represents a great way to improve old businesses. I hope you enjoy my fun conversation with Tracy Graham.","Tracy: [00:52:37] Man, that's a great one. As I've talked to you since we started talking, I've been very fortunate. I'm not going to say my mom because I will tell you that, in my view, she's a saint. But I won't say anything about my mom, which literally she is top of the list. But I talked to you about Chris Murphy and Jay Jordan. Both of those two have done things that are so kind to me and really changed the trajectory of my thinking, which then ultimately has led to my career and life and has changed my family.I got a meeting with Chris Murphy very early in my career. It was the first time we would ever meet. He is the chairman of 1st Source Bank, which is a regional, public-traded bank here in South Bend. He agreed to a meeting. It was a Friday and the meeting was scheduled at 2:00. Again, I knew nothing. I knew nothing about business. I was really just pretty green. I was in that earliest stage. I'm probably 22, 23 years old. I go into his office and immediately he says, ""Hey, I can't do this meeting right now. I got to go."" I had waited for a long time to get this meeting. He said, ""What are you doing right now?"" I said, ""I'm doing nothing. I had this meeting scheduled."" We got on his plane and we flew to Naples, Florida. I spent 7 days with him and his family. Now, we had never met before this meeting. During that 7 days, I also met another guy, Basil Sellers, from Australia who's a very successful guy. I got 7 days of what I think was the best lessons that I could ever get. It was so kind. He was so kind. His family was so kind. That relationship has lasted now for nearly 25 years we're going on. That was the kindest thing.And then Jay Jordan did a very similar thing. We went to the Hamptons. I will tell you that it changed my life in ways that I never thought about at the time. I think it's a metaphor for just giving a kid access and letting him see the world differently than they've ever seen the world and the impact that it could make on a kid just being able to see it, being able to see Naples, Florida. For me, that was a big deal. Today I've been to Naples many times, but back then I had never been to a place like that and certainly not the Hamptons and just giving me that exposure, I think my family would say was one of the nicest things that they've ever did because I think it changed generations of my family just having that. That's the nicest thing. That's a long story, but it's near and dear to me. Both those people continue to be very important in my life. They might say, ""I've done 50 of those nice things for you, Tracy."" I could hear Jay answering that question. It would be fun to hear him answer the question.",Mentor,,,Mentorship,,
Mario Cibelli,https://www.joincolossus.com/episodes/46347335/cibelli-cornerstone-investing-insights?tab=transcript,"So Mario, You and I discussed a place to begin this conversation a couple of days ago, and I think it's hard to pick something better than an amazing story that you were a part of, that's been written about publicly in the book Netflixed. And I think you've never told the full story from your perspective in a setting like this, so I just think it's an amazing wedge into a conversation about doing extremely deep dives on companies. And I'll just leave it there. I'll let you begin with the Netflix DC story. You tell us how this started and walk us through it.","Mario: [00:45:24] There's a lot of things that I could say, or anyone could say. One that comes to mind, it goes back to when I graduated college. A good friend of mine, a guy by the name of Rich Jaffe. His parents were Stan and Myra Jaffe, and they lived in Pleasantville, New York. When my parents were up in Canada, after I graduated I went to Binghamton. And I had a job, I had my first job it was Mario Gabelli, still around today picking stocks. And I had this gap where it was like, I didn't have any money, I had a job, it was two weeks after I graduated. I had to show up for work, I was like, ""Where am I going to live?"" I didn't have any money, I couldn't afford rent.Now my friend was doing an internship, he wasn't even in town, but he was like: ""You can live with my parents."" So Pleasantville's in Westchester. So Stan and Myra Jaffe open their house to me, with their son not even there. I moved in and lived in the basement with the parents of my friend. And I don't want to get choked up here, I'll never forget that. That was super nice for them to have done that for me. They've passed on so it's a worthy thing to mention is the nicest thing that someone's ever done for me.",Friend's parents,,,Help in time of need,,
Sam Hinkie,https://www.joincolossus.com/episodes/78487046/hinkie-find-your-people?tab=transcript,"My guest today is Sam Hinkie. Sam worked for more than a decade in the NBA with the Houston Rockets and then as the president and GM of the Philadelphia 76ers. And now after years of personal investing, he has launched his own venture capital firm, Eighty-Seven Capital. Every conversation I have with Sam is alive with insight and this one is no different. We explore the idea of studying the breadcrumbs that someone leaves behind as a way of tracking their progress and trajectory, finding and attracting the right people into one's orbit, and the lessons from the NBA that most shape his investing career. Sam has taught me the most about the topic of building trust, which we cover here as well.
I'm excited to share my conversation with Sam with all of you. Please enjoy.",Question not found,,,,,,
Danny Meyer,https://www.joincolossus.com/episodes/21049021/meyer-the-power-of-hospitality?tab=transcript,"My guest today is Danny Meyer, the founder and CEO of Union Square Hospitality Group, which compromises some of the most acclaimed restaurants in New York City like Gramercy Tavern and Union Square Cafe. Danny is also the founder and chairman of Shake Shack, which began in New York City, but is now a publicly traded company with hundreds of locations worldwide.
Our conversation focuses on how great hospitality leads to great business, regardless of the sector that it's in. We discuss why hospitality is the starting point for Danny's business philosophy, why first impressions matter, Danny's concept of ABCD, which stands for Always Be Connecting Dots, how to scale hospitality, and how to build a business with essentialism and soul.","Danny: [00:48:56] Kindest thing anyone's ever done for me was to say yes when I asked her to marry me. I just cannot imagine any of my business life or family life or who I've become had it not been for Audrey Heffernan saying yes and becoming Audrey Heffernan Meyer. She is an amazing mom of four kids, who I adore, who I learn so much from, and probably more than anything, in addition to the, ""Isn't it great how she has supported me,"" which it is, but she's I think more than anything helped me to become real. I think there's a fine line between wanting people to be happy so much that you end up losing a piece of your own authenticity. And that never happened to me, thank goodness. And I give her all the credit for that.",Wife,,,Marriage,,
Daniel Gross,https://www.joincolossus.com/episodes/41971294/gross-finding-undiscovered-talent?tab=transcript,"My guest today is Daniel Gross. Daniel is the founder of Pioneer, an extremely unique company, which he describes as a fully remote startup generator that helps talented people around the world figure out if their idea has legs. You can learn more about it at pioneer.app. Our wide-ranging conversation covers the art of asking great questions, the use of predictive modeling and psychometrics to identify talent, and why psychometrics are probably overrated and not that scientific. We then dive into exciting new frontiers for tech investing, ranging from GPT-3 to satellites. I really enjoyed this conversation and hope you will, too.","Okay. I have a bit of a recency bias, but something that's been on my mind almost every single day. A couple of weekends ago, I drove my car to the middle of nowhere in California. It was pretty warm. Parked my car on the side of the road. I don't really pay attention to where I parked it. I locked my door, put my keys in my pocket, and I got out for a run. I come back to the car, 12, 14 miles later, pretty dehydrated. Didn't bring any water with me. It's maybe 95 degrees. I'm pretty excited to get into the car, turn on the air conditioning, drink some water, and get back home. I then discovered that the car had sunk into the ground a little bit. It's very thin sand. I turn on the car, and start the engine, and hit the gas, and dig a great ditch for myself.

Situation becomes a little bit more alarming when I realize the car has almost no fuel left, literally, in middle of nowhere in California. I really treated myself here. I thought I was screwed, but it only took maybe, I don't know, 10, 12 minutes until someone's driving by on the road. They drive by and then they pass me, and then they turn around. Low and behold, over the course of the next 30, 40 minutes or so, three people stopped their car, turned around, and helped me tow my car out of the sand. To me, this was so simple, but so momentous for me. I truly had begun thinking, ""Well, this is basically it. I'm stuck here and I'm going to make camp here for the next three days."" But the fact that people went out of their way to help me, here's the interesting thing that I find in it. Now, every time I'm driving on any type of road, in particular, if it's desolate, and I see someone stuck, I have a real proclivity to try to help them because I was helped. I think that small effect, in many ways, describes the magic of Silicon Valley. Someone took a bet on me when I was 18 years old, and you see now in my career, I'm trying to take other bets on people. So there's a real pay-it-forward element, I think happens, to when you shower someone with an excessive amount of, with a surprising amount we should say, of effort  when they feel like they don't deserve it. So I don't know if it's the most kind thing people have done to me, but that's a pretty big one.",Stranger,,,Help in time of need,,
Raju Rishi,https://www.joincolossus.com/episodes/98683836/singareddy-investing-in-the-future-of-healthcare?tab=transcript,"My guests today are Raju Rishi, Nikita Singareddy, and Jason Black of RRE Ventures. RRE is a New York-based VC firm investing in early-stage start-ups with more than 400 investments over its 25-year history. Raju, Nikita, and Jason focus their time in the world of healthcare investing, a topic I haven't explored much personally or on this show. We discuss the current landscape for healthcare investing, the variety of stakeholders in the healthcare value chain, the opportunities for founders and investors in the space, what excites them most about the future of the space, and the impact COVID has had in shaking up the industry. I hope you enjoy my conversation with the RRE team.
So Raju, Nikita, and Jason, I cannot remember the last time I had three people on the line. So this is going to be a lot of fun. And we're going to explore a topic that I don't think I've ever explored on the podcast, which is the non-biopharma part of healthcare investing. So I think there's a lot to learn, and this is a perfect time given the COVID situation that we're facing to have this exploration. Raju, I thought that a neat place to begin would be for you to walk us through how you and your team think about what makes for an attractive market or segment to invest in the first place. We were talking offline about how you explore areas. And I'd just love to hear more about that process, because I think the market you pick can be so important to outcomes. And obviously, I'm curious why healthcare, in the final analysis, was so interesting to you and your team.","Raju: [00:56:18] I was born in India. And I lived in a town called Jalandhar. It's a tiny little town. You get raised by a village. I had wandered off. So I moved here when I was roughly four or five years old. But right before I came, my mom said she was frantically searching for me because I had gone from our home and walked I guess a mile or two away on my own into the center of the village. Which is kind of bustling. It's like a big town. It's a lot. It's like a bizarre. And a merchant there recognized me because I used to come with my mom periodically and buy grains, or fruits, or whatever. And he entertained me basically for an hour, bought me all sorts of fruits and candies, and walked me back to my house. When my mom told me about it and said this gentleman just closed up his shop, entertained me for half a day, and brought me back home so that my mom who was frantically searching for me wouldn't completely lose it, I think it was a pretty kind thing.",Stranger,,,Help in time of need,,
Jason Black,https://www.joincolossus.com/episodes/98683836/singareddy-investing-in-the-future-of-healthcare?tab=transcript,"My guests today are Raju Rishi, Nikita Singareddy, and Jason Black of RRE Ventures. RRE is a New York-based VC firm investing in early-stage start-ups with more than 400 investments over its 25-year history. Raju, Nikita, and Jason focus their time in the world of healthcare investing, a topic I haven't explored much personally or on this show. We discuss the current landscape for healthcare investing, the variety of stakeholders in the healthcare value chain, the opportunities for founders and investors in the space, what excites them most about the future of the space, and the impact COVID has had in shaking up the industry. I hope you enjoy my conversation with the RRE team.
So Raju, Nikita, and Jason, I cannot remember the last time I had three people on the line. So this is going to be a lot of fun. And we're going to explore a topic that I don't think I've ever explored on the podcast, which is the non-biopharma part of healthcare investing. So I think there's a lot to learn, and this is a perfect time given the COVID situation that we're facing to have this exploration. Raju, I thought that a neat place to begin would be for you to walk us through how you and your team think about what makes for an attractive market or segment to invest in the first place. We were talking offline about how you explore areas. And I'd just love to hear more about that process, because I think the market you pick can be so important to outcomes. And obviously, I'm curious why healthcare, in the final analysis, was so interesting to you and your team.","Jason: [00:57:19] I was trying to think through my past. And so many people have been kind to me, the most kind. What is the most kind? But I will say I just got injured in a cycling accident. I broke my left wrist and displaced my right shoulder. So I was basically kind of armless as it were. Very difficult to do things on my own. And I was living by myself in Boulder. And I was really struggling I will say. Tough to really carry groceries or do things when you've got both arms that are injured. And I called up my sister, and she lives in Indianapolis. And I just said, ""Man, I'm really struggling. How far is Indianapolis from here?"" And she said, ""I'll look into flights right now and we can drive you back."" And it's like a 16 hour drive. And it actually ended up being my brother-in-law. My sister couldn't make it because she had a few appointments here. And he just jumped into plane, no questions asked. Just bought a plane ticket, got an SUV. Helped me pack my broken bike in my bike box, all my luggage, helping me with the open jars and all this type of stuff. And drove me 16 hours back to Indianapolis, and they're hosting me at their home. I know it's family, but my brother-in-law just kind of jumped in and did it with a smile, and it really touched me. So I'm very thankful for that.",Family,,,Help in time of need,,
"Nikita Singareddy,",https://www.joincolossus.com/episodes/98683836/singareddy-investing-in-the-future-of-healthcare?tab=transcript,"My guests today are Raju Rishi, Nikita Singareddy, and Jason Black of RRE Ventures. RRE is a New York-based VC firm investing in early-stage start-ups with more than 400 investments over its 25-year history. Raju, Nikita, and Jason focus their time in the world of healthcare investing, a topic I haven't explored much personally or on this show. We discuss the current landscape for healthcare investing, the variety of stakeholders in the healthcare value chain, the opportunities for founders and investors in the space, what excites them most about the future of the space, and the impact COVID has had in shaking up the industry. I hope you enjoy my conversation with the RRE team.
So Raju, Nikita, and Jason, I cannot remember the last time I had three people on the line. So this is going to be a lot of fun. And we're going to explore a topic that I don't think I've ever explored on the podcast, which is the non-biopharma part of healthcare investing. So I think there's a lot to learn, and this is a perfect time given the COVID situation that we're facing to have this exploration. Raju, I thought that a neat place to begin would be for you to walk us through how you and your team think about what makes for an attractive market or segment to invest in the first place. We were talking offline about how you explore areas. And I'd just love to hear more about that process, because I think the market you pick can be so important to outcomes. And obviously, I'm curious why healthcare, in the final analysis, was so interesting to you and your team.",".Nikita: [00:58:36] I got my driver's license finally recently. I failed my first driver's test, and I had the same person who was seeing me again for my second driver's test. And I probably made some mistakes where I maybe got close to not passing again. And he looked at me and he was like, ""I know you worked hard for this, so I'm going to pass you."" So that was a very recent, small act of kindness from the guy at the DMV. And I really appreciate that he did that because I was standing in line from 5:45 AM, and he saw me at 10:00 AM. So he knows I was just standing in line and hoping to get it through the process. That's maybe a little silly one, but there are really small acts of kindness like that, that happen all the time.",Stranger,,,Undeserved Opportunity,,
Niki Scevak,https://www.joincolossus.com/episodes/72081719/scevak-wild-hearts-and-wild-ideas?tab=transcript,"My guest today is Niki Scevak, co-founder and partner at Blackbird Ventures. Blackbird is a leading VC firm in Australia and New Zealand and has invested in companies like graphic design platform Canva and autonomous vehicle company Zoox. Our conversation covers the types of wild ideas that Blackbird invests in, the landscape of venture and startups in Australia and New Zealand, and everything Niki Scevak knows about gross margins and customer acquisition. We also introduce a new concept on the show I'm calling Breakdowns, where we dive into a single business, what it does, how it operates, and what makes it tick. I hope you enjoy this great conversation.","Niki: [00:49:45] I think it was the belief of those initial investors in our fund. I should have said that Rick and I had no track record as investors. We had not done any, done anything really successful before Blackbird and venture capital was a dirty word in Australia. There are waves of firms before us had actually failed. So, there was this kind of scorched earth feel to the industry in 2012. And there were 97 people. We had 522 meetings to raise that first fund over two years to get 97 people to say yes to $29 million. And I think I will always be forever grateful to those people for taking a chance on helping to build what we have at Blackbird.",Investment firm,,,Took a chance,,
"Jason Karp, Rohan Oza",https://www.joincolossus.com/episodes/77472890/karp-the-power-of-brand?tab=transcript,"My guests today are Jason Karp and Rohan Oza. Jason is the founder and CEO of Human Co., a holding company focused on building businesses that help people live healthier lives. Jason formerly ran the hedge fund Tourbillon Capital and was a popular guest on the podcast several years ago. After watching Jason lay out the vision for Human Co, my family and I became investors in Jason and his team. Rohan is the co-founder of CAVU Venture Partners. One of the fastest-growing venture funds in the CPG space, which has helped grow brands like Beyond Meat, Hims, Vital Proteins, and Bai. You may also recognize him as one of the recurring Sharks on ABC Shark Tank. Our conversation covers how to think about investing in brands, what makes for a great brand, how partnerships with influencers and celebrities can turbocharge a brand, how brand ultimately gives you pricing power, and how Rohan and Jason tried to, in their words, add sizzle to the brands that they work with.
I really enjoyed this conversation with two of the smartest people I know on this topic and hope you will too.",Critique,Boss,,,Firing,,
Anu Hariharan,https://www.joincolossus.com/episodes/99792081/hariharan-lessons-in-growth-investing?tab=transcript,"My guest this week is Anu Hariharan. Anu is a partner at Y-Combinator’s Continuity Fund where she focuses on growth investing. Before YC, Anu was an Investment Partner at Andreesen Horowitz where she worked with portfolio companies Airbnb, Instacart, Medium and Udacity. In this conversation, we discuss growth stage businesses and their business models, how her background as an engineer impacts her investing style, the most interesting international markets for tech start-ups, and how much opportunity there still is for investing in tech and e-commerce startups. This conversation left me thinking about how much digital transformation there still is in front us and the exciting opportunities ahead. Enjoy this great conversation with Anu Hariharan.","Anu: [00:57:53] Well, there are a lot of people that have really helped me, but I think the kindest thing that comes to mind is Dr. Jeffrey Reed. He was my research advisor at Virginia Tech. I was doing my Master's in wireless communications. This was in 2002, right after 9/11. And the funding that most state universities got from the government was completely slashed. Even private funding was at an all-time low. So I had come with the hope of getting a research fellowship. The university and the research group had no money to be able to fund me.I come from a Tier-3 town in India. My parents were very middle class, and my dad had pretty much taken an entire loan against all his assets and could pay only for a year of my tuition. Come summer, and I was working enough in Virginia Tech to cover all my living expenses. But as an international student, you can work only 20 hours and you have to work in campus. You can't work outside. So there's only so much I could do. And I remember very vividly, this was July, and my dad basically said, ""Look, this is it. This is the last straw. Finish whatever credits you can, you're going to come back in August."" And I was like, ""Yeah, I get it.""And so I went to my advisor and said, ""Look, I really can't continue, and I need to find a way to graduate. So I should finish whatever credits I can in the summer, and maybe I could do it remotely. Would you be open to doing remotely?"" He asked me, ""How much money do you need?"" And I said, ""Well, I haven't paid tuition this month. I need to pay $1,200."" He took a checkbook, wrote a check, and gave it to me without any questions. And I think if I look back in life, if he hadn't done that, my life would have turned out very different.",Mentor,,,Help in time of need,,
"Brad Gerstner, Rich Barton",https://www.joincolossus.com/episodes/21457404/gerstner-thriving-in-changing-markets?tab=transcript,"My guests today are Rich Barton and Brad Gerstner. Brad is the founder of Altimeter Capital and is one of my favorite active investors. Brad and Altimeter were one of the largest investors in Snowflake in its earlier days, and continue to invest in iconic modern businesses with an extreme focus. Rich has one of the most impressive resumes in the business world. He founded Expedia, Glassdoor, and Zillow. He's a long time Netflix board member since before they went public. He's a venture partner at Benchmark Capital. And he gives back through the Barton Family Foundation. Our conversation covers Rich's power to the people strategy, Brad and Rich's perspective on taking companies public through SPACs versus IPO's, and their perspectives on how to build a great company. This one is so fun, we even discuss how to come up with company names, talk about the importance of the Wizard of Oz, and explore the importance of big, hairy, audacious goals. I really enjoyed this conversation with two of the smartest people I know, and I hope you will too.
So Brad and Rich, we're going to cover a lot of different ground, but we have to begin with how you two know each other. Who wants to begin with the story of how you guys met?","Rich: [01:16:17] The kindest thing anyone has ever done for me. I should have been prepared for that. I do listen to your podcast. The little things. I'm an empty nester. As I said, early on a recent empty nester. I have three kids in college, sort of. College in the age of COVID is not quite what college is like. But I'm pretty odd by the simple kindness of my older boy just FaceTiming me a couple of times a week. Maybe human connection matters, so it seems to matter so much more now. But it's kind of, the pandemic has stripped away life to the fundamentals. And we realized that these relationships are what life is about. So the simple kindness of a teenager who is willing to take time to call his dad and ask him how his day is going, that's what I love.",Family,,,Making time,,
